사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202408,공항철도 1호선,홍대입구,216,11,5620,475,6726,4475,11116,10261,14126,26219,13007,28472,14358,26663,16219,32570,18238,36732,21278,37265,24331,31872,29876,32387,36421,33509,43503,36992,48433,42685,40777,28592,39296,16590,43429,13864,36851,12455,16449,9520,1349,3241,0,0,0,0,0,0,20240903
202409,2호선,홍대입구,911,26,25987,3187,30125,17467,56107,38978,73321,102652,59957,131862,55668,109353,63673,125767,75658,146750,87551,159829,98867,152211,120774,154669,146980,167199,171729,188685,192574,222367,164349,166049,160593,105321,181728,83861,176461,68860,89083,51125,11344,17645,142,1919,0,0,0,0,20241003
202409,경의선,홍대입구,5,0,332,140,814,573,1283,2077,1609,7019,1346,6183,1386,4604,1611,4543,2147,5237,2665,5655,3224,5298,3885,5195,4638,5770,6432,6022,7696,6932,5955,4722,5336,2934,6268,2475,6313,2043,2785,1391,107,259,4,6,0,0,0,0,20241003
202409,공항철도 1호선,홍대입구,243,11,5380,412,6527,3942,11008,10241,14177,24638,12554,27869,13460,23531,14620,26886,16756,30770,19377,31788,22281,27454,26603,28365,32160,29918,38558,33334,43292,38306,36595,26804,34160,15573,37409,12778,33123,11893,15227,9698,1366,3159,31,61,1,17,0,0,20241003
202410,2호선,홍대입구,1018,36,26192,3681,31450,19900,62063,43272,82814,114570,70128,150953,66312,124409,73992,145046,84709,160952,100916,180010,111904,167976,136218,168119,165693,184023,190329,209297,218588,247786,180911,185557,175719,116576,196580,96381,188444,77782,96089,52750,11671,20028,12,2008,0,1,0,0,20241103
202410,경의선,홍대입구,8,1,425,120,847,758,1488,2356,1914,7871,1564,7443,1762,5848,1905,4876,2559,6443,3231,6389,4180,5989,5137,5715,5616,6249,7423,6720,8895,7777,6701,5439,6377,3516,7012,3316,6932,2592,2810,1735,88,283,0,0,0,0,0,0,20241103
202410,공항철도 1호선,홍대입구,293,33,5615,478,7155,4455,12136,11120,16081,27510,15344,31909,16207,27011,17494,30623,18800,34841,22060,35612,24833,30741,31068,31065,37790,32260,44338,36135,49682,42651,40400,29624,37931,17717,41076,14815,36084,13314,16766,9976,1555,3177,0,0,0,0,0,0,20241103
202411,2호선,홍대입구,980,32,27143,3508,31508,18667,63123,42947,82431,113713,68569,148681,61979,119646,68793,135099,81228,154527,94804,171254,106240,163457,129304,165626,161409,184150,190217,215048,211917,258831,174255,185406,173623,112007,202050,88675,195615,73787,99565,51067,13246,19943,14,2083,0,1,0,0,20241203
202411,경의선,홍대입구,10,0,435,122,854,645,1511,2100,1971,7765,1527,6904,1569,5084,1624,4652,2276,5639,2855,5944,3412,5671,4117,5576,5174,6286,7124,6905,8077,7863,6140,5171,5810,2956,6774,2409,6863,1911,3027,1324,85,293,0,0,0,0,0,0,20241203
202411,공항철도 1호선,홍대입구,300,21,5744,413,6734,4337,11813,11123,15614,27807,14739,32051,15029,25056,15521,27960,17761,32800,20724,33451,23921,29589,29429,30269,36051,32662,42739,36961,47574,44404,38578,29317,36525,16616,41149,13475,36312,12280,17118,9332,1562,3323,1,1,0,0,0,0,20241203
